Init: HR = 0.0934, NDCG = 0.0429
Iteration 0 [96.0 s]: HR = 0.5942, NDCG = 0.3386, loss = 0.3183 [3.6 s]
Iteration 1 [93.6 s]: HR = 0.6440, NDCG = 0.3749, loss = 0.2736 [3.5 s]
Iteration 2 [93.4 s]: HR = 0.6579, NDCG = 0.3842, loss = 0.2633 [3.6 s]
Iteration 3 [94.2 s]: HR = 0.6694, NDCG = 0.3920, loss = 0.2579 [3.5 s]
Iteration 4 [94.1 s]: HR = 0.6715, NDCG = 0.3945, loss = 0.2536 [3.6 s]
Iteration 5 [92.2 s]: HR = 0.6753, NDCG = 0.3964, loss = 0.2504 [3.5 s]
Iteration 6 [93.7 s]: HR = 0.6811, NDCG = 0.4033, loss = 0.2477 [3.5 s]
Iteration 7 [93.7 s]: HR = 0.6737, NDCG = 0.4006, loss = 0.2451 [3.6 s]
Iteration 8 [93.6 s]: HR = 0.6801, NDCG = 0.4050, loss = 0.2428 [3.6 s]
Iteration 9 [93.7 s]: HR = 0.6810, NDCG = 0.4056, loss = 0.2410 [3.7 s]
Iteration 10 [93.5 s]: HR = 0.6816, NDCG = 0.4062, loss = 0.2392 [3.7 s]
Iteration 11 [93.1 s]: HR = 0.6796, NDCG = 0.4065, loss = 0.2378 [3.5 s]
Iteration 12 [93.2 s]: HR = 0.6834, NDCG = 0.4080, loss = 0.2364 [3.6 s]
Iteration 13 [92.7 s]: HR = 0.6763, NDCG = 0.4022, loss = 0.2350 [3.5 s]
Iteration 14 [92.8 s]: HR = 0.6821, NDCG = 0.4063, loss = 0.2338 [3.6 s]
Iteration 15 [93.0 s]: HR = 0.6813, NDCG = 0.4061, loss = 0.2329 [3.5 s]
Iteration 16 [93.6 s]: HR = 0.6813, NDCG = 0.4081, loss = 0.2316 [3.6 s]
Iteration 17 [92.8 s]: HR = 0.6851, NDCG = 0.4087, loss = 0.2307 [3.5 s]
Iteration 18 [93.4 s]: HR = 0.6921, NDCG = 0.4099, loss = 0.2302 [3.6 s]
Iteration 19 [93.7 s]: HR = 0.6849, NDCG = 0.4058, loss = 0.2291 [3.6 s]
Iteration 20 [92.9 s]: HR = 0.6788, NDCG = 0.4066, loss = 0.2285 [3.7 s]
Iteration 21 [93.7 s]: HR = 0.6854, NDCG = 0.4061, loss = 0.2277 [3.6 s]
Iteration 22 [93.5 s]: HR = 0.6856, NDCG = 0.4081, loss = 0.2272 [3.5 s]
Iteration 23 [92.8 s]: HR = 0.6859, NDCG = 0.4055, loss = 0.2267 [3.6 s]
Iteration 24 [93.1 s]: HR = 0.6839, NDCG = 0.4091, loss = 0.2257 [3.6 s]
Iteration 25 [92.2 s]: HR = 0.6796, NDCG = 0.4075, loss = 0.2256 [3.7 s]
Iteration 26 [92.8 s]: HR = 0.6848, NDCG = 0.4081, loss = 0.2254 [3.5 s]
Iteration 27 [93.3 s]: HR = 0.6823, NDCG = 0.4067, loss = 0.2245 [3.7 s]
Iteration 28 [93.3 s]: HR = 0.6846, NDCG = 0.4054, loss = 0.2241 [3.6 s]
Iteration 29 [93.3 s]: HR = 0.6803, NDCG = 0.4056, loss = 0.2235 [3.5 s]
Iteration 30 [93.3 s]: HR = 0.6833, NDCG = 0.4057, loss = 0.2233 [3.6 s]
Iteration 31 [93.1 s]: HR = 0.6838, NDCG = 0.4081, loss = 0.2227 [3.6 s]
Iteration 32 [93.0 s]: HR = 0.6808, NDCG = 0.4047, loss = 0.2225 [3.7 s]
Iteration 33 [92.6 s]: HR = 0.6805, NDCG = 0.4044, loss = 0.2220 [3.7 s]
Iteration 34 [93.1 s]: HR = 0.6811, NDCG = 0.4053, loss = 0.2217 [3.6 s]
Iteration 35 [92.8 s]: HR = 0.6825, NDCG = 0.4063, loss = 0.2215 [3.6 s]
Iteration 36 [94.3 s]: HR = 0.6838, NDCG = 0.4051, loss = 0.2213 [3.5 s]
Iteration 37 [93.3 s]: HR = 0.6838, NDCG = 0.4072, loss = 0.2209 [3.7 s]
Iteration 38 [93.3 s]: HR = 0.6788, NDCG = 0.4058, loss = 0.2207 [3.6 s]
Iteration 39 [93.2 s]: HR = 0.6778, NDCG = 0.4025, loss = 0.2204 [3.5 s]
Iteration 40 [93.2 s]: HR = 0.6772, NDCG = 0.4039, loss = 0.2202 [3.6 s]
Iteration 41 [93.0 s]: HR = 0.6795, NDCG = 0.4031, loss = 0.2199 [3.6 s]
Iteration 42 [93.3 s]: HR = 0.6780, NDCG = 0.4033, loss = 0.2198 [3.5 s]
Iteration 43 [93.1 s]: HR = 0.6793, NDCG = 0.4014, loss = 0.2194 [3.6 s]
Iteration 44 [93.0 s]: HR = 0.6811, NDCG = 0.4038, loss = 0.2191 [3.6 s]
Iteration 45 [93.0 s]: HR = 0.6772, NDCG = 0.4046, loss = 0.2193 [3.6 s]
